year,event_aircraft_units,finding_rows,units_with_final_finding,final_finding_rate,units_with_preliminary_narrative,preliminary_narrative_rate,units_with_mature_factual_narrative,mature_factual_narrative_rate,units_with_probable_cause_text,probable_cause_text_rate,analysis_role
2008,1755,5020,1755,1.0,1755,1.0,1754,0.9994301994301994,1754,0.9994301994301994,training or robustness
2009,1654,4634,1654,1.0,1654,1.0,1644,0.9939540507859734,1644,0.9939540507859734,training or robustness
2010,1609,4192,1609,1.0,1609,1.0,1599,0.9937849596022374,1600,0.9944064636420137,training or robustness
2011,1660,4466,1660,1.0,1658,0.9987951807228915,1651,0.994578313253012,1652,0.9951807228915662,training or robustness
2012,1606,4494,1606,1.0,1606,1.0,1598,0.9950186799501868,1598,0.9950186799501868,training or robustness
2013,1336,3928,1336,1.0,1336,1.0,1333,0.9977544910179641,1333,0.9977544910179641,training or robustness
2014,1337,4363,1337,1.0,1337,1.0,1337,1.0,1337,1.0,training or robustness
2015,1335,4262,1335,1.0,1333,0.998501872659176,1335,1.0,1335,1.0,training or robustness
2016,1368,4577,1368,1.0,1367,0.9992690058479532,1368,1.0,1368,1.0,training or robustness
2017,1355,4546,1355,1.0,1351,0.9970479704797048,1355,1.0,1355,1.0,training or robustness
2018,1375,4449,1375,1.0,1357,0.986909090909091,1375,1.0,1375,1.0,training or robustness
2019,1330,4192,1330,1.0,1292,0.9714285714285714,1328,0.9984962406015038,1330,1.0,training or robustness
2020,1154,3252,1154,1.0,774,0.6707105719237435,1153,0.9991334488734835,1154,1.0,training or robustness
2021,1229,3448,1229,1.0,575,0.467860048820179,1229,1.0,1229,1.0,training or robustness
2022,1291,3500,1291,1.0,607,0.4701781564678544,1290,0.9992254066615027,1291,1.0,training or robustness
2023,1234,3453,1234,1.0,580,0.4700162074554295,1234,1.0,1234,1.0,main forward test
2024,990,2658,990,1.0,303,0.30606060606060603,990,1.0,990,1.0,main forward test
2025,654,1880,654,1.0,32,0.04892966360856269,654,1.0,654,1.0,freshness audit
