test_year,label,support,is_late_emerging,close_positive,close_negative,acquire_more_evidence,coverage,closed_precision,positive_defer_rate
2023,Aircraft-Aircraft handling/service,11,False,3,1223,5,0.9959382615759546,0.9902120717781403,0.0
2023,Aircraft-Aircraft oper/perf/capability,589,False,622,435,174,0.8586515028432169,0.7369914853358562,0.16468590831918506
2023,Aircraft-Aircraft power plant,175,False,265,920,46,0.9626320064987814,0.8877637130801688,0.02857142857142857
2023,Aircraft-Aircraft propeller/rotor,20,False,33,1187,11,0.9910641754670999,0.969672131147541,0.2
2023,Aircraft-Aircraft structures,27,False,23,1188,20,0.983753046303818,0.9752270850536746,0.0
2023,Aircraft-Aircraft systems,200,True,0,166,1065,0.1348497156783103,0.9759036144578314,0.98
2023,Aircraft-Fluids/misc hardware,106,True,1,501,729,0.40779853777416736,0.9760956175298805,0.8773584905660378
2023,Environmental issues-Conditions/weather/phenomena,267,True,1,276,954,0.22502030869212022,0.9855595667870036,0.9812734082397003
2023,Environmental issues-Operating environment,11,False,4,1217,10,0.991876523151909,0.9877149877149877,0.0
2023,Environmental issues-Physical environment,188,True,0,163,1068,0.132412672623883,0.9754601226993865,0.9787234042553191
2023,Not determined-Not determined,68,False,205,893,133,0.8919577579203899,0.8214936247723132,0.22058823529411764
2023,Organizational issues-Support/oversight/monitoring,16,False,2,1224,5,0.9959382615759546,0.9853181076672104,0.0
2023,Personnel issues-Action/decision,373,False,496,456,279,0.7733549959382616,0.6271008403361344,0.19839142091152814
2023,Personnel issues-Experience/knowledge,48,False,75,1092,64,0.9480097481722177,0.9177377892030848,0.0625
2023,Personnel issues-Physical,22,False,57,1128,46,0.9626320064987814,0.9561181434599156,0.13636363636363635
2023,Personnel issues-Psychological,145,True,0,348,883,0.2826969943135662,0.9798850574712644,0.9517241379310345
2023,Personnel issues-Task performance,684,False,624,320,287,0.7668562144597888,0.6875,0.2236842105263158
