test_year,stage,label,rank,term,weight
2023,event_aircraft_core,Aircraft-Aircraft handling/service,1,ev_month_2,4.035155296655053
2023,event_aircraft_core,Aircraft-Aircraft handling/service,2,ev_month_4 ev_state_ca,3.7372893824444753
2023,event_aircraft_core,Aircraft-Aircraft handling/service,3,ev_month_10 ev_state_tx,3.1961651376442286
2023,event_aircraft_core,Aircraft-Aircraft handling/service,4,acft_make_textron_aviation,3.1444508016916948
2023,event_aircraft_core,Aircraft-Aircraft handling/service,5,damage_subs acft_make_textron_aviation,3.1444508016916948
2023,event_aircraft_core,Aircraft-Aircraft handling/service,6,ev_month_11 ev_state_tx,2.9796297960091147
2023,event_aircraft_core,Aircraft-Aircraft handling/service,7,ev_month_2 ev_state_tn,2.857411230798803
2023,event_aircraft_core,Aircraft-Aircraft handling/service,8,damage_dest acft_make_dassault_aviation,2.66884748307171
2023,event_aircraft_core,Aircraft-Aircraft handling/service,9,inj_tot_f_2 inj_tot_s_1,2.612035042519346
2023,event_aircraft_core,Aircraft-Aircraft handling/service,10,ev_month_6 ev_state_ak,2.5952637472958875
2023,event_aircraft_core,Aircraft-Aircraft handling/service,11,ev_month_4,2.583338252058928
2023,event_aircraft_core,Aircraft-Aircraft handling/service,12,acft_model_aa_5 acft_category_air,2.541550837776192
2023,event_aircraft_core,Aircraft-Aircraft handling/service,13,acft_model_aa_5,2.541550837776192
2023,event_aircraft_core,Aircraft-Aircraft handling/service,14,ev_month_10 ev_state_nc,2.452222321904556
2023,event_aircraft_core,Aircraft-Aircraft handling/service,15,acft_model_pa_12,2.350840645933147
2023,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,1,acft_category_gli,1.501974413579554
2023,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,2,damage_dest acft_make_beech,1.2612350203891085
2023,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,3,ev_month_8 ev_state_ak,1.1767839319300122
2023,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,4,damage_subs,0.958160582696229
2023,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,5,ev_month_4,0.9478144308799904
2023,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,6,acft_model_pa_18_150 acft_category_air,0.920182615384093
2023,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,7,acft_model_pa_18_150,0.920182615384093
2023,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,8,ev_month_2 ev_state_az,0.9148631954943501
2023,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,9,acft_make_kitfox,0.9073906438003747
2023,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,10,ev_month_4 ev_state_ga,0.8929134904533319
2023,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,11,acft_category_wsft,0.8558905120712075
2023,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,12,ev_state_wy ev_country_usa,0.8462789714400816
2023,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,13,ev_state_wy,0.8462789714400816
