test_year,stage,label,rank,term,weight
2022,event_aircraft_core,Aircraft-Aircraft handling/service,1,ev_month_2,2.9683759718304783
2022,event_aircraft_core,Aircraft-Aircraft handling/service,2,ev_month_6 ev_state_ak,2.8227692692625657
2022,event_aircraft_core,Aircraft-Aircraft handling/service,3,damage_minr acft_make_boeing,2.5286584095325058
2022,event_aircraft_core,Aircraft-Aircraft handling/service,4,acft_model_pa_12,2.448544415645092
2022,event_aircraft_core,Aircraft-Aircraft handling/service,5,acft_model_pa_12 acft_category_air,2.448544415645092
2022,event_aircraft_core,Aircraft-Aircraft handling/service,6,acft_make_piper acft_model_pa_12,2.448544415645092
2022,event_aircraft_core,Aircraft-Aircraft handling/service,7,damage_subs acft_make_american_aviation,2.3738989175086016
2022,event_aircraft_core,Aircraft-Aircraft handling/service,8,ev_state_ia,2.347064399028542
2022,event_aircraft_core,Aircraft-Aircraft handling/service,9,ev_state_ia ev_country_usa,2.347064399028542
2022,event_aircraft_core,Aircraft-Aircraft handling/service,10,ev_month_4 ev_state_co,2.3038455929446107
2022,event_aircraft_core,Aircraft-Aircraft handling/service,11,acft_make_american_aviation,2.2913322672903735
2022,event_aircraft_core,Aircraft-Aircraft handling/service,12,cert_max_gr_wt_1650 num_eng_1,2.103490022560466
2022,event_aircraft_core,Aircraft-Aircraft handling/service,13,acft_model_challenger acft_category_air,2.0951010000385817
2022,event_aircraft_core,Aircraft-Aircraft handling/service,14,ev_month_10 ev_state_nc,2.0815031118643175
2022,event_aircraft_core,Aircraft-Aircraft handling/service,15,inj_tot_f_2 inj_tot_s_1,2.0731234228174524
2022,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,1,acft_category_gli,1.1893068866420953
2022,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,2,acft_category_ball,0.8412183488798053
2022,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,3,ev_month_8 ev_state_ak,0.7235760914772245
2022,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,4,acft_category_wsft,0.7171257914542593
2022,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,5,ev_state_co,0.7087457699163019
2022,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,6,ev_state_co ev_country_usa,0.7087457699163019
2022,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,7,ev_month_9 ev_state_or,0.7030536568571549
2022,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,8,damage_subs acft_make_air_tractor,0.6891136243920302
2022,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,9,ev_month_10 ev_state_az,0.6787429992157117
2022,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,10,ev_month_2 ev_state_mi,0.672786915021298
2022,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,11,acft_model_172 acft_category_air,0.6695248601433323
2022,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,12,acft_model_172,0.6695248601433323
2022,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,13,acft_make_cessna acft_model_172,0.6695248601433323
2022,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,14,ev_month_4 ev_state_co,0.6571587796724015
2022,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,15,cert_max_gr_wt_2500 num_eng_1,0.6534483545198605
2022,event_aircraft_core,Aircraft-Aircraft power plant,1,ev_month_4 ev_state_ks,1.3624361722632863
2022,event_aircraft_core,Aircraft-Aircraft power plant,2,ev_month_7 ev_state_ca,1.3263210350803827
2022,event_aircraft_core,Aircraft-Aircraft power plant,3,damage_subs acft_make_beech,1.2964298994077987
2022,event_aircraft_core,Aircraft-Aircraft power plant,4,ev_month_7 ev_state_tn,1.2609275166868992
2022,event_aircraft_core,Aircraft-Aircraft power plant,5,acft_make_stinson,1.2564318373109755
2022,event_aircraft_core,Aircraft-Aircraft power plant,6,ev_month_7 ev_state_la,1.1900616111664477
2022,event_aircraft_core,Aircraft-Aircraft power plant,7,ev_month_7 ev_state_tx,1.1824255092816682
2022,event_aircraft_core,Aircraft-Aircraft power plant,8,ev_month_8 ev_state_in,1.174516999602179
2022,event_aircraft_core,Aircraft-Aircraft power plant,9,acft_category_air,1.1586118330491664
2022,event_aircraft_core,Aircraft-Aircraft power plant,10,ev_month_4 ev_state_wa,1.1564456007265873
2022,event_aircraft_core,Aircraft-Aircraft power plant,11,cert_max_gr_wt_3100,1.1315806019088797
2022,event_aircraft_core,Aircraft-Aircraft power plant,12,cert_max_gr_wt_3100 num_eng_1,1.1315806019088797
2022,event_aircraft_core,Aircraft-Aircraft power plant,13,ev_month_9 ev_state_az,1.1196625291320828
2022,event_aircraft_core,Aircraft-Aircraft power plant,14,damage_subs acft_make_lancair,1.1174941203142965
2022,event_aircraft_core,Aircraft-Aircraft power plant,15,ev_state_ut,1.1154037544036726
2022,event_aircraft_core,Aircraft-Aircraft propeller/rotor,1,acft_category_heli,5.836129597193954
2022,event_aircraft_core,Aircraft-Aircraft propeller/rotor,2,ev_month_6 ev_state_mn,3.2102637263421485
2022,event_aircraft_core,Aircraft-Aircraft propeller/rotor,3,damage_subs acft_make_enstrom,3.112072104787327
2022,event_aircraft_core,Aircraft-Aircraft propeller/rotor,4,ev_month_8,2.910391500555272
2022,event_aircraft_core,Aircraft-Aircraft propeller/rotor,5,acft_make_enstrom,2.6687940702790867
2022,event_aircraft_core,Aircraft-Aircraft propeller/rotor,6,damage_subs acft_make_velocity,2.270616255023004
2022,event_aircraft_core,Aircraft-Aircraft propeller/rotor,7,acft_model_zodiac_601_xl acft_category_air,2.1835154391454132
2022,event_aircraft_core,Aircraft-Aircraft propeller/rotor,8,acft_model_zodiac_601_xl,2.1835154391454132
2022,event_aircraft_core,Aircraft-Aircraft propeller/rotor,9,acft_make_cessna acft_model_172h,2.161720656842047
2022,event_aircraft_core,Aircraft-Aircraft propeller/rotor,10,acft_model_172h acft_category_air,2.161720656842047
2022,event_aircraft_core,Aircraft-Aircraft propeller/rotor,11,acft_model_172h,2.161720656842047
2022,event_aircraft_core,Aircraft-Aircraft propeller/rotor,12,acft_make_velocity,2.1117038737984872
2022,event_aircraft_core,Aircraft-Aircraft propeller/rotor,13,acft_make_hiller,2.044781512056152
2022,event_aircraft_core,Aircraft-Aircraft propeller/rotor,14,acft_category_heli cert_max_gr_wt_7000,1.959956122375627
2022,event_aircraft_core,Aircraft-Aircraft propeller/rotor,15,ev_state_mn,1.9557335972315764
2022,event_aircraft_core,Aircraft-Aircraft structures,1,ev_month_8 ev_state_id,2.936820986459674
2022,event_aircraft_core,Aircraft-Aircraft structures,2,acft_model_lancair_evolution acft_category_air,2.4987640670517703
2022,event_aircraft_core,Aircraft-Aircraft structures,3,acft_model_lancair_evolution,2.4987640670517703
2022,event_aircraft_core,Aircraft-Aircraft structures,4,ev_state_ok,2.3937381435373077
2022,event_aircraft_core,Aircraft-Aircraft structures,5,ev_state_ok ev_country_usa,2.3937381435373077
2022,event_aircraft_core,Aircraft-Aircraft structures,6,acft_category_air cert_max_gr_wt_missing,2.2944149828686378
