label,event_aircraft_core_support,event_aircraft_core_predicted_positive,event_aircraft_core_precision,event_aircraft_core_recall,event_aircraft_core_f1,event_aircraft_weather_support,event_aircraft_weather_predicted_positive,event_aircraft_weather_precision,event_aircraft_weather_recall,event_aircraft_weather_f1,preliminary_support,preliminary_predicted_positive,preliminary_precision,preliminary_recall,preliminary_f1,mature_factual_support,mature_factual_predicted_positive,mature_factual_precision,mature_factual_recall,mature_factual_f1,support,mature_minus_prelim_f1,prelim_minus_structured_f1,maturation_class
Personnel issues-Task performance,1669,2773,0.5991388005142536,0.98359811578321,0.7441789509578207,1669,2823,0.5938723626599488,0.9904382795953648,0.7419615375684607,1669,2452,0.6367561223150578,0.936371058487102,0.7579796008120087,1669,2216,0.688508674983377,0.9083858141084414,0.7827129867287671,1669,0.024733385916758444,0.01601806324354793,early_closable
Aircraft-Aircraft oper/perf/capability,1445,2481,0.549287073398725,0.9343301825166311,0.6912398955601438,1445,2628,0.5422075453494318,0.9688242979260112,0.6944194017234938,1445,2091,0.6296823809326829,0.9168506332034655,0.7461150351374123,1445,1644,0.784827260671995,0.8919009511693567,0.8343099120324157,1445,0.08819487689500338,0.051695633413918474,early_closable
Aircraft-Aircraft power plant,315,1483,0.1228287541159802,0.6019080759750617,0.19466701065294048,315,1528,0.11926409377242521,0.6143830651007685,0.18927355452598973,315,453,0.5084586466165414,0.6831533378901801,0.5794498053779474,315,445,0.5625572110234688,0.8123200563391951,0.6641048476652264,315,0.08465504228727894,0.39017625085195773,early_closable
Environmental issues-Conditions/weather/phenomena,659,1963,0.25945590191666307,0.7837283119155553,0.38812580036527017,659,1227,0.35587148414805375,0.6465504037840787,0.4525283820275874,659,1048,0.41305991589330904,0.6587352496560447,0.5074155428140731,659,756,0.6978331605577055,0.8168775183745236,0.7490924482691209,659,0.24167690545504783,0.0548871607864857,late_emerging
Aircraft-Aircraft systems,476,1327,0.21757232905544308,0.6368838135265166,0.32198772908594836,476,1209,0.21711510706045103,0.5916800309683127,0.3087560703795939,476,533,0.3941069711233447,0.4332661431547125,0.4113404584458296,476,557,0.609882033666601,0.7009426901878376,0.6514291211203783,476,0.2400886626745487,0.10258438806623571,late_emerging
Environmental issues-Physical environment,444,2168,0.17467331600584748,0.8234609036977564,0.287126237158025,444,1826,0.17904696896212424,0.6984673714260227,0.28008196027289106,444,1381,0.2235623112523152,0.6938333556358446,0.3376162773857037,444,697,0.4512679894903691,0.727273294973014,0.5550147040750799,444,0.2173984266893762,0.05753431711281265,late_emerging
Personnel issues-Psychological,341,659,0.18662015942347776,0.3469344469699962,0.23755683157578844,341,751,0.20451160652471345,0.4249311457985472,0.2722090232266788,341,703,0.2341281098564516,0.47543140852774696,0.3087703675985112,341,455,0.4405353993449232,0.5754193193937239,0.4971839283610227,341,0.18841356076251153,0.036561344371832394,late_emerging
Aircraft-Fluids/misc hardware,234,1000,0.13708266788348925,0.5720938960728786,0.22098504183934775,234,957,0.1300586229303263,0.5041016167632565,0.20375354999390438,234,316,0.3175899784595437,0.4233333170860893,0.3597672784062138,234,315,0.6620174705111651,0.8408769287509607,0.7376702751301979,234,0.3779029967239841,0.15601372841230943,late_emerging
Aircraft-Aircraft handling/service,19,480,0.005266362252663623,0.27777777777777773,0.010311890838206628,19,889,0.005299846405725184,0.393939393939394,0.010131183815394343,19,138,0.018867924528301886,0.0909090909090909,0.03125,19,83,0.024691358024691357,0.12121212121212122,0.041025641025641026,19,0.009775641025641026,0.021118816184605656,low_support
Organizational issues-Development,11,81,0.0078125,0.25,0.015151515151515152,11,43,0.0,0.0,0.0,11,18,0.08333333333333333,0.16666666666666666,0.1111111111111111,11,23,0.06521739130434782,0.16666666666666666,0.09375,11,-0.017361111111111105,0.1111111111111111,low_support
