method,test_year,parent_close_positive_precision,child_close_positive_precision,parent_positive_coverage,child_positive_coverage,parent_f1,child_f1,raw_hierarchy_violations,projected_hierarchy_violations,close_positive_precision,positive_coverage,projection_action_changes,projection_change_rate
BR-TFIDF threshold,2023,0.6979134226097788,0.4502864157119476,0.9302615193026152,0.7501704158145875,0.797508896797153,0.5627716696497059,198,198,0.5484627731818743,0.8313681452367584,0,0.0
ES3D,2023,0.7297939778129953,0.5483184333759047,0.7646326276463262,0.4389911383776414,0.7468072167038313,0.48760174143479085,1084,1084,0.6423147958136671,0.5858132135504398,0,0.0
Labelwise RCPS,2023,0.0,0.0,0.0,0.0,0.0,0.0,29,29,0.0,0.0,0,0.0
Instancewise RCPS,2023,0.8929384965831435,0.0,0.1627231216272312,0.0,0.2752808988764045,0.0,1,1,0.8929384965831435,0.07336702227213177,0,0.0
LTT without hierarchy,2023,0.8929384965831435,0.0,0.1627231216272312,0.0,0.2752808988764045,0.0,1,1,0.8929384965831435,0.07336702227213177,0,0.0
F-DFHC without utility,2023,0.9161676646706587,0.0,0.06351183063511831,0.0,0.1187888198757764,0.0,1,0,0.9161676646706587,0.028635597978663673,1,4.065040650406504e-05
F-DFHC-U full,2023,0.9042553191489362,0.9069767441860465,0.141137401411374,0.013292433537832311,0.24416517055655296,0.026200873362445413,1,0,0.9045346062052506,0.07093393224780085,1,4.065040650406504e-05
F-DFHC-U w/o projection,2023,0.9042553191489362,0.9069767441860465,0.141137401411374,0.013292433537832311,0.24416517055655296,0.026200873362445413,1,1,0.9045346062052506,0.07093393224780085,0,0.0
BR-TFIDF threshold,2024,0.6727605118829981,0.3928817451205511,0.944558521560575,0.7524186455584873,0.7858210548793508,0.5162166239251772,242,242,0.5008462623413258,0.8410705826622454,0,0.0
ES3D,2024,0.7376498800959232,0.5391440501043842,0.7895277207392197,0.4542656112576957,0.7627076617902306,0.4930787589498807,786,786,0.6425893526618345,0.6089531027948839,0,0.0
Labelwise RCPS,2024,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0.0,0.0,0,0.0
Instancewise RCPS,2024,0.922077922077922,0.9655172413793104,0.0728952772073922,0.012313104661389622,0.1351094196003806,0.0243161094224924,8,8,0.9289617486338798,0.04026527711984841,0,0.0
LTT without hierarchy,2024,0.922077922077922,0.9655172413793104,0.0728952772073922,0.012313104661389622,0.1351094196003806,0.0243161094224924,8,8,0.9289617486338798,0.04026527711984841,0,0.0
F-DFHC without utility,2024,1.0,0.0,0.013860369609856264,0.0,0.027341772151898733,0.0,2,0,1.0,0.006395073424917101,2,9.210647508519849e-05
F-DFHC-U full,2024,0.922077922077922,0.9512195121951219,0.0728952772073922,0.017150395778364115,0.1351094196003806,0.033693304535637146,2,0,0.9282051282051282,0.042870677404073895,2,9.210647508519849e-05
F-DFHC-U w/o projection,2024,0.922077922077922,0.9512195121951219,0.0728952772073922,0.017150395778364115,0.1351094196003806,0.033693304535637146,2,2,0.9282051282051282,0.042870677404073895,0,0.0
BR-TFIDF threshold,2025,0.691820580474934,0.3741140215716487,0.9675276752767528,0.7601753287413902,0.8067692307692308,0.5014456836018174,58,58,0.49124513618677046,0.8553523035230353,0,0.0
ES3D,2025,0.7293485560779046,0.5492753623188406,0.8014760147601476,0.4746399499060739,0.7637130801687764,0.5092374874034262,476,476,0.6427326594632277,0.6246612466124661,0,0.0
Labelwise RCPS,2025,0.0,0.0,0.0,0.0,0.0,0.0,18,18,0.0,0.0,0,0.0
Instancewise RCPS,2025,0.9047619047619048,0.6666666666666666,0.07011070110701106,0.002504696305572949,0.13013698630136986,0.004990642545227698,3,3,0.8918918918918919,0.03353658536585366,0,0.0
LTT without hierarchy,2025,0.9047619047619048,0.6666666666666666,0.07011070110701106,0.002504696305572949,0.13013698630136986,0.004990642545227698,3,3,0.8918918918918919,0.03353658536585366,0,0.0
F-DFHC without utility,2025,1.0,0.0,0.002952029520295203,0.0,0.005886681383370125,0.0,2,0,1.0,0.0013550135501355014,2,0.00012742099898063202
F-DFHC-U full,2025,0.9047619047619048,0.8888888888888888,0.07011070110701106,0.005009392611145898,0.13013698630136986,0.009962640099626401,2,0,0.9035087719298246,0.03489159891598916,2,0.00012742099898063202
F-DFHC-U w/o projection,2025,0.9047619047619048,0.8888888888888888,0.07011070110701106,0.005009392611145898,0.13013698630136986,0.009962640099626401,2,2,0.9035087719298246,0.03489159891598916,0,0.0
