method,test_year,label,node_type,parent,support,close_positive_decisions,close_positive_precision,positive_coverage,defer_rate,is_late_emerging
BR-TFIDF threshold,2023,Aircraft,parent,Aircraft,973,1178,0.8149405772495756,0.986639260020555,0.0,False
BR-TFIDF threshold,2023,Personnel issues,parent,Personnel issues,931,1072,0.8125,0.9355531686358755,0.0,False
BR-TFIDF threshold,2023,Environmental issues,parent,Environmental issues,437,755,0.5046357615894039,0.8718535469107551,0.0,False
BR-TFIDF threshold,2023,Not determined,parent,Not determined,68,206,0.14077669902912626,0.4264705882352941,0.0,False
BR-TFIDF threshold,2023,Aircraft-Aircraft handling/service,child,Aircraft,11,15,0.1333333333333333,0.18181818181818182,0.0,False
BR-TFIDF threshold,2023,Aircraft-Aircraft oper/perf/capability,child,Aircraft,589,789,0.6489226869455007,0.8692699490662139,0.0,False
BR-TFIDF threshold,2023,Aircraft-Aircraft power plant,child,Aircraft,175,262,0.5610687022900763,0.84,0.0,False
BR-TFIDF threshold,2023,Aircraft-Aircraft propeller/rotor,child,Aircraft,20,33,0.21212121212121215,0.35,0.0,False
BR-TFIDF threshold,2023,Aircraft-Aircraft structures,child,Aircraft,27,20,0.44999999999999996,0.3333333333333333,0.0,False
BR-TFIDF threshold,2023,Aircraft-Aircraft systems,child,Aircraft,200,260,0.3846153846153846,0.5,0.0,True
BR-TFIDF threshold,2023,Aircraft-Fluids/misc hardware,child,Aircraft,106,148,0.41891891891891897,0.5849056603773585,0.0,True
BR-TFIDF threshold,2023,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,267,456,0.4057017543859649,0.6928838951310862,0.0,True
BR-TFIDF threshold,2023,Environmental issues-Operating environment,child,Environmental issues,11,20,0.0,0.0,0.0,False
BR-TFIDF threshold,2023,Environmental issues-Physical environment,child,Environmental issues,188,560,0.24821428571428572,0.7393617021276596,0.0,True
BR-TFIDF threshold,2023,Not determined-Not determined,child,Not determined,68,206,0.14077669902912626,0.4264705882352941,0.0,False
BR-TFIDF threshold,2023,Personnel issues-Action/decision,child,Personnel issues,373,770,0.3831168831168831,0.7908847184986595,0.0,False
BR-TFIDF threshold,2023,Personnel issues-Experience/knowledge,child,Personnel issues,48,70,0.15714285714285714,0.22916666666666666,0.0,False
BR-TFIDF threshold,2023,Personnel issues-Physical,child,Personnel issues,22,42,0.19047619047619047,0.36363636363636365,0.0,False
BR-TFIDF threshold,2023,Personnel issues-Psychological,child,Personnel issues,145,205,0.31219512195121957,0.4413793103448276,0.0,True
BR-TFIDF threshold,2023,Personnel issues-Task performance,child,Personnel issues,684,1032,0.6114341085271318,0.922514619883041,0.0,False
ES3D,2023,Aircraft,parent,Aircraft,973,905,0.8497237569060774,0.7903391572456321,0.08780487804878045,False
ES3D,2023,Personnel issues,parent,Personnel issues,931,845,0.8745562130177514,0.7937701396348013,0.03658536585365857,False
ES3D,2023,Environmental issues,parent,Environmental issues,437,568,0.5369718309859155,0.6979405034324943,0.08211382113821142,False
ES3D,2023,Not determined,parent,Not determined,68,206,0.14077669902912626,0.4264705882352941,0.060975609756097615,False
ES3D,2023,Aircraft-Aircraft handling/service,child,Aircraft,11,0,nan,0.0,0.0008130081300813385,False
ES3D,2023,Aircraft-Aircraft oper/perf/capability,child,Aircraft,589,639,0.6713615023474178,0.7283531409168081,0.06016260162601628,False
ES3D,2023,Aircraft-Aircraft power plant,child,Aircraft,175,262,0.5610687022900763,0.84,0.02195121951219514,False
ES3D,2023,Aircraft-Aircraft propeller/rotor,child,Aircraft,20,27,0.18518518518518523,0.25,0.004878048780487809,False
ES3D,2023,Aircraft-Aircraft structures,child,Aircraft,27,20,0.44999999999999996,0.3333333333333333,0.006504065040650375,False
ES3D,2023,Aircraft-Aircraft systems,child,Aircraft,200,0,nan,0.0,0.9398373983739837,True
ES3D,2023,Aircraft-Fluids/misc hardware,child,Aircraft,106,0,nan,0.0,0.6317073170731707,True
ES3D,2023,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,267,0,nan,0.0,0.8292682926829268,True
ES3D,2023,Environmental issues-Operating environment,child,Environmental issues,11,1,0.0,0.0,0.0008130081300813385,False
ES3D,2023,Environmental issues-Physical environment,child,Environmental issues,188,0,nan,0.0,0.9024390243902439,True
ES3D,2023,Not determined-Not determined,child,Not determined,68,206,0.14077669902912626,0.4264705882352941,0.060975609756097615,False
ES3D,2023,Personnel issues-Action/decision,child,Personnel issues,373,444,0.4414414414414415,0.5254691689008043,0.15121951219512197,False
ES3D,2023,Personnel issues-Experience/knowledge,child,Personnel issues,48,46,0.23913043478260865,0.22916666666666666,0.019512195121951237,False
ES3D,2023,Personnel issues-Physical,child,Personnel issues,22,42,0.19047619047619047,0.36363636363636365,0.013821138211382089,False
ES3D,2023,Personnel issues-Psychological,child,Personnel issues,145,0,nan,0.0,0.765040650406504,True
ES3D,2023,Personnel issues-Task performance,child,Personnel issues,684,662,0.6858006042296072,0.6637426900584795,0.12113821138211378,False
Labelwise RCPS,2023,Aircraft,parent,Aircraft,973,0,nan,0.0,1.0,False
Labelwise RCPS,2023,Personnel issues,parent,Personnel issues,931,0,nan,0.0,1.0,False
Labelwise RCPS,2023,Environmental issues,parent,Environmental issues,437,0,nan,0.0,0.7455284552845529,False
Labelwise RCPS,2023,Not determined,parent,Not determined,68,0,nan,0.0,0.0,False
Labelwise RCPS,2023,Aircraft-Aircraft handling/service,child,Aircraft,11,0,nan,0.0,0.0008130081300813385,False
Labelwise RCPS,2023,Aircraft-Aircraft oper/perf/capability,child,Aircraft,589,0,nan,0.0,0.7504065040650406,False
Labelwise RCPS,2023,Aircraft-Aircraft power plant,child,Aircraft,175,0,nan,0.0,0.10650406504065035,False
Labelwise RCPS,2023,Aircraft-Aircraft propeller/rotor,child,Aircraft,20,0,nan,0.0,0.0,False
Labelwise RCPS,2023,Aircraft-Aircraft structures,child,Aircraft,27,0,nan,0.0,0.0,False
Labelwise RCPS,2023,Aircraft-Aircraft systems,child,Aircraft,200,0,nan,0.0,0.31219512195121957,True
Labelwise RCPS,2023,Aircraft-Fluids/misc hardware,child,Aircraft,106,0,nan,0.0,0.033333333333333326,True
Labelwise RCPS,2023,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,267,0,nan,0.0,0.4926829268292683,True
Labelwise RCPS,2023,Environmental issues-Operating environment,child,Environmental issues,11,0,nan,0.0,0.0008130081300813385,False
Labelwise RCPS,2023,Environmental issues-Physical environment,child,Environmental issues,188,0,nan,0.0,0.6276422764227643,True
Labelwise RCPS,2023,Not determined-Not determined,child,Not determined,68,0,nan,0.0,0.0,False
Labelwise RCPS,2023,Personnel issues-Action/decision,child,Personnel issues,373,0,nan,0.0,1.0,False
Labelwise RCPS,2023,Personnel issues-Experience/knowledge,child,Personnel issues,48,0,nan,0.0,0.0024390243902439046,False
Labelwise RCPS,2023,Personnel issues-Physical,child,Personnel issues,22,0,nan,0.0,0.0,False
Labelwise RCPS,2023,Personnel issues-Psychological,child,Personnel issues,145,0,nan,0.0,0.23983739837398377,True
Labelwise RCPS,2023,Personnel issues-Task performance,child,Personnel issues,684,0,nan,0.0,0.9886178861788618,False
Instancewise RCPS,2023,Aircraft,parent,Aircraft,973,275,0.8763636363636363,0.24768756423432683,0.7764227642276422,False
Instancewise RCPS,2023,Personnel issues,parent,Personnel issues,931,164,0.9207317073170732,0.16219119226638024,0.8666666666666667,False
Instancewise RCPS,2023,Environmental issues,parent,Environmental issues,437,0,nan,0.0,0.6813008130081301,False
Instancewise RCPS,2023,Not determined,parent,Not determined,68,0,nan,0.0,0.0,False
Instancewise RCPS,2023,Aircraft-Aircraft handling/service,child,Aircraft,11,0,nan,0.0,0.0008130081300813385,False
Instancewise RCPS,2023,Aircraft-Aircraft oper/perf/capability,child,Aircraft,589,0,nan,0.0,0.6634146341463414,False
Instancewise RCPS,2023,Aircraft-Aircraft power plant,child,Aircraft,175,0,nan,0.0,0.033333333333333326,False
Instancewise RCPS,2023,Aircraft-Aircraft propeller/rotor,child,Aircraft,20,0,nan,0.0,0.0,False
Instancewise RCPS,2023,Aircraft-Aircraft structures,child,Aircraft,27,0,nan,0.0,0.0,False
Instancewise RCPS,2023,Aircraft-Aircraft systems,child,Aircraft,200,0,nan,0.0,0.01788617886178867,True
Instancewise RCPS,2023,Aircraft-Fluids/misc hardware,child,Aircraft,106,0,nan,0.0,0.0,True
Instancewise RCPS,2023,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,267,0,nan,0.0,0.28861788617886175,True
Instancewise RCPS,2023,Environmental issues-Operating environment,child,Environmental issues,11,0,nan,0.0,0.0008130081300813385,False
Instancewise RCPS,2023,Environmental issues-Physical environment,child,Environmental issues,188,0,nan,0.0,0.29512195121951224,True
Instancewise RCPS,2023,Not determined-Not determined,child,Not determined,68,0,nan,0.0,0.0,False
Instancewise RCPS,2023,Personnel issues-Action/decision,child,Personnel issues,373,0,nan,0.0,0.8390243902439024,False
Instancewise RCPS,2023,Personnel issues-Experience/knowledge,child,Personnel issues,48,0,nan,0.0,0.0024390243902439046,False
Instancewise RCPS,2023,Personnel issues-Physical,child,Personnel issues,22,0,nan,0.0,0.0,False
Instancewise RCPS,2023,Personnel issues-Psychological,child,Personnel issues,145,0,nan,0.0,0.0,True
Instancewise RCPS,2023,Personnel issues-Task performance,child,Personnel issues,684,0,nan,0.0,0.9878048780487805,False
LTT without hierarchy,2023,Aircraft,parent,Aircraft,973,275,0.8763636363636363,0.24768756423432683,0.7764227642276422,False
LTT without hierarchy,2023,Personnel issues,parent,Personnel issues,931,164,0.9207317073170732,0.16219119226638024,0.8666666666666667,False
LTT without hierarchy,2023,Environmental issues,parent,Environmental issues,437,0,nan,0.0,0.6813008130081301,False
LTT without hierarchy,2023,Not determined,parent,Not determined,68,0,nan,0.0,0.0,False
LTT without hierarchy,2023,Aircraft-Aircraft handling/service,child,Aircraft,11,0,nan,0.0,0.0008130081300813385,False
LTT without hierarchy,2023,Aircraft-Aircraft oper/perf/capability,child,Aircraft,589,0,nan,0.0,0.6634146341463414,False
LTT without hierarchy,2023,Aircraft-Aircraft power plant,child,Aircraft,175,0,nan,0.0,0.033333333333333326,False
LTT without hierarchy,2023,Aircraft-Aircraft propeller/rotor,child,Aircraft,20,0,nan,0.0,0.0,False
LTT without hierarchy,2023,Aircraft-Aircraft structures,child,Aircraft,27,0,nan,0.0,0.0,False
