method,test_year,label,node_type,parent,support,close_positive_decisions,close_positive_precision,positive_coverage,defer_rate,is_late_emerging
BR-TFIDF threshold,2023,Aircraft,parent,Aircraft,969,1174,0.8066439522998297,0.977296181630547,0.0,False
BR-TFIDF threshold,2023,Personnel issues,parent,Personnel issues,931,1100,0.8027272727272727,0.9484425349087003,0.0,False
BR-TFIDF threshold,2023,Environmental issues,parent,Environmental issues,429,747,0.49129852744310576,0.8554778554778555,0.0,False
BR-TFIDF threshold,2023,Not determined,parent,Not determined,68,222,0.14414414414414412,0.47058823529411764,0.0,False
BR-TFIDF threshold,2023,Aircraft-Aircraft oper/perf/capability,child,Aircraft,589,900,0.6133333333333333,0.9371816638370118,0.0,False
BR-TFIDF threshold,2023,Aircraft-Aircraft power plant,child,Aircraft,175,262,0.549618320610687,0.8228571428571428,0.0,False
BR-TFIDF threshold,2023,Aircraft-Aircraft propeller/rotor,child,Aircraft,20,35,0.19999999999999996,0.35,0.0,False
BR-TFIDF threshold,2023,Aircraft-Aircraft structures,child,Aircraft,27,37,0.2432432432432432,0.3333333333333333,0.0,False
BR-TFIDF threshold,2023,Aircraft-Aircraft systems,child,Aircraft,200,330,0.3424242424242424,0.565,0.0,True
BR-TFIDF threshold,2023,Aircraft-Fluids/misc hardware,child,Aircraft,106,175,0.36571428571428577,0.6037735849056604,0.0,True
BR-TFIDF threshold,2023,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,267,407,0.4201474201474201,0.6404494382022472,0.0,True
BR-TFIDF threshold,2023,Environmental issues-Physical environment,child,Environmental issues,188,576,0.2378472222222222,0.7287234042553191,0.0,True
BR-TFIDF threshold,2023,Not determined-Not determined,child,Not determined,68,222,0.14414414414414412,0.47058823529411764,0.0,False
BR-TFIDF threshold,2023,Personnel issues-Action/decision,child,Personnel issues,373,1017,0.344149459193707,0.938337801608579,0.0,False
BR-TFIDF threshold,2023,Personnel issues-Experience/knowledge,child,Personnel issues,48,79,0.1392405063291139,0.22916666666666666,0.0,False
