method,test_year,calibration_year,closed_precision,aggregate_closed_precision,close_positive_precision,positive_coverage,event_positive_coverage,event_close_positive_rate,event_any_closure_rate,defer_rate,workload_reduction,overall_coverage,empirical_all_risk,empirical_plus_risk,certified_all_bound,certified_plus_bound,certified_hierarchy_bound,certified_late_bound,lower_positive_coverage,parent_close_positive_precision,child_close_positive_precision,parent_positive_coverage,child_positive_coverage,parent_f1,child_f1,raw_hierarchy_violations,projected_hierarchy_violations,projection_action_changes,projection_change_rate,late_premature_closure_risk,closed_decisions,wrong_closed_decisions,close_positive_decisions,true_positive_closed,truth_positive_total,child_positive_alpha,parent_positive_alpha,personnel_parent_positive_alpha,parent_positive_floor,negative_alpha,late_positive_alpha,min_count,reliability_floor,reliability_min_count,child_reliability_lcb_floor,child_reliability_min_count,aircraft_child_floor,child_margin
BR-TFIDF threshold,2023,2022,0.8147154471544715,0.8147154471544715,0.5484627731818743,0.8313681452367584,0.9861788617886179,1.0,1.0,0.0,1.0,1.0,0.18528455284552847,0.43815594974131566,nan,nan,nan,nan,nan,0.6979134226097788,0.4502864157119476,0.9302615193026152,0.7501704158145875,0.797508896797153,0.5627716696497059,198,198,0,0.0,0.17544715447154471,24600,4558,8099,4442,5343,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ES3D,2023,2022,0.8903252032520326,0.8557142093160062,0.6423147958136671,0.5858132135504398,0.9577235772357724,0.9983739837398374,1.0,0.2398780487804878,0.7601219512195122,0.7601219512195121,0.10967479674796746,0.34151664730933023,nan,nan,nan,nan,nan,0.7297939778129953,0.5483184333759047,0.7646326276463262,0.4389911383776414,0.7468072167038313,0.48760174143479085,1084,1084,0,0.0,0.0,18699,2698,4873,3130,5343,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Labelwise RCPS,2023,2022,0.9719918699186992,0.9558898847631242,0.0,0.0,0.0,0.0,1.0,0.3650406504065041,0.634959349593496,0.634959349593496,0.028008130081300816,0.0,0.03599534405278522,0.006687945138253704,0.008590119051297182,0.006687945138253704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,29,0,0.0,0.0,15620,689,0,0,5343,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Instancewise RCPS,2023,2022,0.9505284552845529,0.9319807735300694,0.8929384965831435,0.07336702227213177,0.29024390243902437,0.3195121951219512,1.0,0.2726829268292683,0.7273170731707317,0.7273170731707317,0.04947154471544715,0.03373983739837398,0.07392870731337414,0.05696187916795881,0.02279822156603384,0.0023231763334311973,0.04340323437144558,0.8929384965831435,0.0,0.1627231216272312,0.0,0.2752808988764045,0.0,1,1,0,0.0,0.0,17892,1217,439,392,5343,0.0,0.08,0.06,0.0,0.12,0.0,3,0.0,20,0.0,20,0.0,0.0
LTT without hierarchy,2023,2022,0.9505284552845529,0.9319807735300694,0.8929384965831435,0.07336702227213177,0.29024390243902437,0.3195121951219512,1.0,0.2726829268292683,0.7273170731707317,0.7273170731707317,0.04947154471544715,0.03373983739837398,0.07392870731337414,0.05696187916795881,0.02279822156603384,0.0023231763334311973,0.04340323437144558,0.8929384965831435,0.0,0.1627231216272312,0.0,0.2752808988764045,0.0,1,1,0,0.0,0.0,17892,1217,439,392,5343,0.0,0.08,0.06,0.0,0.12,0.0,3,0.0,20,0.0,20,0.0,0.0
F-DFHC without utility,2023,2022,0.951869918699187,0.9328074456614267,0.9161676646706587,0.028635597978663673,0.12439024390243902,0.13495934959349593,1.0,0.2836991869918699,0.7163008130081301,0.7163008130081301,0.04813008130081301,0.01097560975609756,0.073061458372081,0.038108228503884005,0.0,0.0023231763334311973,0.0,0.9161676646706587,0.0,0.06351183063511831,0.0,0.1187888198757764,0.0,1,0,1,4.065040650406504e-05,0.0,17621,1184,167,153,5343,0.0,0.04,0.06,0.0,0.12,0.0,3,0.0,20,0.0,20,0.0,0.0
F-DFHC-U full,2023,2022,0.9509756097560975,0.9325012593048637,0.9045346062052506,0.07093393224780085,0.25447154471544714,0.275609756097561,1.0,0.2736991869918699,0.7263008130081301,0.72630081300813,0.049024390243902434,0.026422764227642278,0.07395207139017153,0.057438795357891356,0.0,0.0036777760368619304,0.036122684354276756,0.9042553191489362,0.9069767441860465,0.141137401411374,0.013292433537832311,0.24416517055655296,0.026200873362445413,1,0,1,4.065040650406504e-05,0.0003252032520325203,17867,1206,419,379,5343,0.0,0.08,0.06,0.72,0.12,0.0,3,0.0,20,0.85,20,0.85,0.0
F-DFHC-U w/o projection,2023,2022,0.9509756097560975,0.9324974812493003,0.9045346062052506,0.07093393224780085,0.25447154471544714,0.275609756097561,1.0,0.273739837398374,0.7262601626016261,0.726260162601626,0.049024390243902434,0.026422764227642278,0.07395207139017153,0.057438795357891356,0.0,0.0036777760368619304,0.036122684354276756,0.9042553191489362,0.9069767441860465,0.141137401411374,0.013292433537832311,0.24416517055655296,0.026200873362445413,1,1,0,0.0,0.0003252032520325203,17866,1206,419,379,5343,0.0,0.08,0.06,0.72,0.12,0.0,3,0.0,20,0.85,20,0.85,0.0
BR-TFIDF threshold,2024,2023,0.8061158699456572,0.8061158699456572,0.5008462623413258,0.8410705826622454,0.9858156028368794,1.0,1.0,0.0,1.0,1.0,0.1938841300543428,0.4840227064391198,nan,nan,nan,nan,nan,0.6727605118829981,0.3928817451205511,0.944558521560575,0.7524186455584873,0.7858210548793508,0.5162166239251772,242,242,0,0.0,0.2358662613981763,21714,4210,7090,3551,4222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ES3D,2024,2023,0.9005710601455282,0.8743086685684345,0.6425893526618345,0.6089531027948839,0.9523809523809523,0.9989868287740629,1.0,0.20894353873077276,0.7910564612692272,0.7910564612692272,0.09942893985447177,0.34715588363004773,nan,nan,nan,nan,nan,0.7376498800959232,0.5391440501043842,0.7895277207392197,0.4542656112576957,0.7627076617902306,0.4930787589498807,786,786,0,0.0,0.0,17177,2159,4001,2571,4222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
