method,test_year,raw_hierarchy_violations,projected_hierarchy_violations,projection_action_changes,projection_change_rate,empirical_all_risk,positive_coverage
BR-TFIDF threshold,2023,198,198,0,0.0,0.18528455284552847,0.8313681452367584
ES3D,2023,1084,1084,0,0.0,0.10967479674796746,0.5858132135504398
Labelwise RCPS,2023,29,29,0,0.0,0.028008130081300816,0.0
Instancewise RCPS,2023,1,1,0,0.0,0.04947154471544715,0.07336702227213177
LTT without hierarchy,2023,1,1,0,0.0,0.04947154471544715,0.07336702227213177
F-DFHC without utility,2023,1,0,1,4.065040650406504e-05,0.04813008130081301,0.028635597978663673
F-DFHC-U full,2023,1,0,1,4.065040650406504e-05,0.049024390243902434,0.07093393224780085
F-DFHC-U w/o projection,2023,1,1,0,0.0,0.049024390243902434,0.07093393224780085
BR-TFIDF threshold,2024,242,242,0,0.0,0.1938841300543428,0.8410705826622454
ES3D,2024,786,786,0,0.0,0.09942893985447177,0.6089531027948839
Labelwise RCPS,2024,10,10,0,0.0,0.021598968407479047,0.0
Instancewise RCPS,2024,8,8,0,0.0,0.0365202173712812,0.04026527711984841
LTT without hierarchy,2024,8,8,0,0.0,0.0365202173712812,0.04026527711984841
F-DFHC without utility,2024,2,0,2,9.210647508519849e-05,0.03592152528322741,0.006395073424917101
F-DFHC-U full,2024,2,0,2,9.210647508519849e-05,0.036428110896196,0.042870677404073895
F-DFHC-U w/o projection,2024,2,2,0,0.0,0.036428110896196,0.042870677404073895
BR-TFIDF threshold,2025,58,58,0,0.0,0.1938073394495413,0.8553523035230353
ES3D,2025,476,476,0,0.0,0.09441896024464831,0.6246612466124661
Labelwise RCPS,2025,18,18,0,0.0,0.015163098878695208,0.0
Instancewise RCPS,2025,3,3,0,0.0,0.034785932721712536,0.03353658536585366
LTT without hierarchy,2025,3,3,0,0.0,0.034785932721712536,0.03353658536585366
F-DFHC without utility,2025,2,0,2,0.00012742099898063202,0.03433995922528032,0.0013550135501355014
F-DFHC-U full,2025,2,0,2,0.00012742099898063202,0.03484964322120285,0.03489159891598916
F-DFHC-U w/o projection,2025,2,2,0,0.0,0.034785932721712536,0.03489159891598916
