split,test_year,stage,method,micro_f1,macro_f1,samples_f1,jaccard,mean_binary_entropy,seconds,model_name,n_fit,n_val,n_test,n_labels,embedding_seconds
rolling,2023,preliminary,BR-TFIDF check,0.5789123786730488,0.3531034127833893,0.5669531530957787,0.437397534034487,0.5281994048823735,40.299,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,20103,1291,1234,21,140.449
,2023,preliminary,Segmented MiniLM-BR C=1,0.47386301369863015,0.27681751599881266,0.4696082123351167,0.3385005818960438,0.7779731147241392,40.287,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,20103,1291,1234,21,140.449
rolling,2023,preliminary,Frozen semantic-fusion BR w=1 C=1,0.5633041688111168,0.3447710122633626,0.5524386539986216,0.41930181065108124,0.5141092796156734,80.664,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,20103,1291,1234,21,140.449
rolling,2023,mature_factual,BR-TFIDF check,0.6727688787185355,0.43992213398698815,0.6642311047497432,0.5574725315203435,0.4425583633489271,46.856,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,20103,1291,1234,21,1147.045
,2023,mature_factual,Segmented MiniLM-BR C=1,0.5389391979301423,0.3237168037950055,0.5419303816171964,0.42224903000834935,0.6265822961805879,48.14,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,20103,1291,1234,21,1147.045
rolling,2023,mature_factual,Frozen semantic-fusion BR w=1 C=1,0.6629740093736685,0.44071935444678334,0.6588190959949469,0.5448601551518893,0.40922154443078457,90.535,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,20103,1291,1234,21,1147.045
rolling,2024,preliminary,BR-TFIDF check,0.5620759837177748,0.33372253765019577,0.5482869066959976,0.42238834958531934,0.5264145812973386,50.446,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,21394,1234,990,21,1017.844
,2024,preliminary,Segmented MiniLM-BR C=1,0.45273177728517405,0.26747357279366607,0.4481476525059413,0.3170984458863247,0.7938301854394447,43.32,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,21394,1234,990,21,1017.844
rolling,2024,preliminary,Frozen semantic-fusion BR w=1 C=1,0.5546384945526577,0.3400381971898059,0.5438858616131343,0.41652686819353485,0.5159648541170774,85.995,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,21394,1234,990,21,1017.844
rolling,2024,mature_factual,BR-TFIDF check,0.673933123960835,0.47283688087076003,0.6681964303934002,0.5558932397568761,0.41792429892884814,48.457,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,21394,1234,990,21,1171.53
,2024,mature_factual,Segmented MiniLM-BR C=1,0.5481283422459893,0.3330032862790081,0.5541183900274809,0.43789376448467354,0.5927012607594927,48.612,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,21394,1234,990,21,1171.53
rolling,2024,mature_factual,Frozen semantic-fusion BR w=1 C=1,0.6864854292978682,0.4679058998453751,0.6773624775897503,0.5725037897007594,0.3837993035785767,95.031,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,21394,1234,990,21,1171.53
