method,stage,test_year,micro_f1,macro_f1,samples_f1,jaccard,mean_binary_entropy,seconds,model_name,n_fit,n_val,n_test,n_labels,embedding_seconds
BR-TFIDF same split,preliminary,2023,0.551128654249414,0.3355687830283055,0.5411070696610908,0.40337575593465114,0.6276121074400626,5.407,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,2382,1288,1231,19,14.54
Segmented MiniLM-BR C=1,preliminary,2023,0.4632811750023999,0.2787832683573991,0.45579872334543337,0.31549915018639635,0.7763748125114137,3.884,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,2382,1288,1231,19,14.54
Frozen semantic-fusion BR w=1 C=1,preliminary,2023,0.5455650060753341,0.32580421741960053,0.5349042058221587,0.39687084961252306,0.5878083419275109,6.863,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,2382,1288,1231,19,14.54
BR-TFIDF same split,mature_factual,2023,0.6414127029336372,0.40490437867453705,0.6320462820868994,0.5137387569556537,0.5909083960623751,7.009,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,2382,1288,1231,19,217.537
Segmented MiniLM-BR C=1,mature_factual,2023,0.5056388919303624,0.32461859508603225,0.5121055539820771,0.3809668172787588,0.6669337314000492,3.939,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,2382,1288,1231,19,217.537
Frozen semantic-fusion BR w=1 C=1,mature_factual,2023,0.6322598790606103,0.40058682165175874,0.6240212355565726,0.5041985363675047,0.5274882115044555,7.658,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,2382,1288,1231,19,217.537
BR-TFIDF same split,preliminary,2024,0.5211418104106244,0.32457506897001714,0.5157589961541329,0.38076954004005675,0.5997467626376928,7.724,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,3670,1231,987,19,173.351
Segmented MiniLM-BR C=1,preliminary,2024,0.4570383912248629,0.2716238403389134,0.4484739775326223,0.3096639035848762,0.7992698849587362,5.962,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,3670,1231,987,19,173.351
Frozen semantic-fusion BR w=1 C=1,preliminary,2024,0.5386683536296062,0.321121177278699,0.5316636138824589,0.39752858590244605,0.5694504123989302,10.992,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,3670,1231,987,19,173.351
BR-TFIDF same split,mature_factual,2024,0.6452788917243893,0.4168424522443471,0.6410074137277785,0.5229871080175033,0.5445325606740208,9.521,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,3670,1231,987,19,205.715
Segmented MiniLM-BR C=1,mature_factual,2024,0.5341057204923968,0.3294532336155427,0.5426752897922217,0.412502042593228,0.6359012326851874,6.365,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,3670,1231,987,19,205.715
Frozen semantic-fusion BR w=1 C=1,mature_factual,2024,0.6509225092250922,0.4267480259028412,0.6483077613329714,0.5344056062141168,0.48323457736591247,12.276,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,3670,1231,987,19,205.715
