method,stage,test_years,n_samples,n_labels,micro_f1,macro_f1,samples_f1,jaccard_samples,mean_binary_entropy,runtime_seconds
VCLDL-adapted,event_aircraft_core,3,2872,18.333333333333332,0.42326093403870807,0.23086956347768597,0.418389013192308,0.28375555165413685,0.6523209148653804,12.744
SIHTC-adapted,event_aircraft_core,3,2872,18.333333333333332,0.4221651752486681,0.2328249741160985,0.4166356273843745,0.28189531795910105,0.6306936889317495,12.803
DyLas-adapted,event_aircraft_core,3,2872,18.333333333333332,0.4137535325058043,0.2268458489776398,0.407666303927239,0.2742296764983618,0.7232063430211717,16.902
HALB-adapted,event_aircraft_core,3,2872,18.333333333333332,0.41243977910326873,0.22778626256421844,0.40598689304299757,0.27222595588381887,0.719465291008385,12.888
BR-TFIDF,event_aircraft_core,3,2872,18.333333333333332,0.4049628162362411,0.22709352877704328,0.39932151750736317,0.26643619963176224,0.684183144818404,4.773000000000001
LSPCL-adapted,event_aircraft_core,3,2872,18.333333333333332,0.36187252796745756,0.21216792385809702,0.3578128603720825,0.23080463918780336,0.8487233120726393,4.121
MatchXML-adapted,event_aircraft_core,3,2872,18.333333333333332,0.3513384653057825,0.209711279350975,0.3503243512164209,0.2237655947179152,0.8670141271560268,4.2
SIHTC-adapted,event_aircraft_weather,3,2872,18.333333333333332,0.4306834964821018,0.2329550836813189,0.4243239096137002,0.2903183799846352,0.6269243458080875,12.218
VCLDL-adapted,event_aircraft_weather,3,2872,18.333333333333332,0.4275155036690377,0.233933335331357,0.4196427025183036,0.28577815111311544,0.6684761655203048,12.369
HALB-adapted,event_aircraft_weather,3,2872,18.333333333333332,0.4173657185104929,0.2321801819785095,0.40949479245140474,0.27526176025395005,0.7432993997071159,13.551
DyLas-adapted,event_aircraft_weather,3,2872,18.333333333333332,0.4139486927400324,0.23585035901437576,0.4073580200112002,0.27323339737949165,0.737444686960635,17.994
BR-TFIDF,event_aircraft_weather,3,2872,18.333333333333332,0.40568252610619976,0.23457072741834495,0.39901968289475187,0.2655781287556351,0.6910513690921521,4.134
LSPCL-adapted,event_aircraft_weather,3,2872,18.333333333333332,0.36198807796707455,0.2065467697287581,0.3652813370353745,0.23839985118510734,0.8772044036359805,6.202
MatchXML-adapted,event_aircraft_weather,3,2872,18.333333333333332,0.3556069578969767,0.2005953977813926,0.3594299255132409,0.23312824555030054,0.8885260913903147,6.032
SIHTC-adapted,mature_factual,3,2872,18.333333333333332,0.6813503344439829,0.43789398662512474,0.6706245201672217,0.5584921264410388,0.5505072508098984,53.798
VCLDL-adapted,mature_factual,3,2872,18.333333333333332,0.6812211117634308,0.4409945760752801,0.6685567729915606,0.5583419406928026,0.556729960118929,53.658
DyLas-adapted,mature_factual,3,2872,18.333333333333332,0.6773110651454147,0.45250390599511103,0.666318740905704,0.5522944809309881,0.5653598197680676,135.26600000000002
BR-TFIDF,mature_factual,3,2872,18.333333333333332,0.6754229641901398,0.4524734587432158,0.6647896380004544,0.5500140495603426,0.5506922701613631,45.679
HALB-adapted,mature_factual,3,2872,18.333333333333332,0.6754229641901398,0.4524734587432158,0.6647896380004544,0.5500140495603426,0.5506922701613631,92.37299999999999
LSPCL-adapted,mature_factual,3,2872,18.333333333333332,0.5243911683143965,0.3037129806403453,0.4882104838364492,0.3604533078984875,0.789148295407501,80.66
MatchXML-adapted,mature_factual,3,2872,18.333333333333332,0.4984379403151647,0.29205008150392,0.4709137462216538,0.3415049477297061,0.8051396990703248,81.71900000000001
VCLDL-adapted,preliminary,3,2872,18.333333333333332,0.5440078440696533,0.30354984382032607,0.5336119750848951,0.4006350398074651,0.5988197100971503,43.815
DyLas-adapted,preliminary,3,2872,18.333333333333332,0.541799109268205,0.32097479680092417,0.5310177522744097,0.397566691918239,0.6461251382287295,103.39099999999999
SIHTC-adapted,preliminary,3,2872,18.333333333333332,0.5416008355678716,0.3177403295179944,0.5315887526838088,0.3975234711293801,0.5994449369675937,43.831
BR-TFIDF,preliminary,3,2872,18.333333333333332,0.5335199111396105,0.3177272207058503,0.5242848597003252,0.38762790153620946,0.6163942135828446,35.67
HALB-adapted,preliminary,3,2872,18.333333333333332,0.5334809774225574,0.3159905241573367,0.5245576816222131,0.3882382368337909,0.6364447134212902,73.668
LSPCL-adapted,preliminary,3,2872,18.333333333333332,0.48347061015823006,0.26557781116402096,0.4727799053795328,0.3367757771738246,0.7268494515405135,59.914
MatchXML-adapted,preliminary,3,2872,18.333333333333332,0.47636205802215875,0.2559612475835548,0.46410183152994283,0.3299248583822924,0.7351730108189525,59.83
