method,stage,test_years,n_samples,n_labels,micro_f1,macro_f1,samples_f1,jaccard_samples,mean_binary_entropy,runtime_seconds
SIHTC-adapted,event_aircraft_core,1,1288,16.0,0.3967097532314924,0.2486017560730437,0.3902825962654242,0.2573335287038703,0.6460601370768477,2.351
VCLDL-adapted,event_aircraft_core,1,1288,16.0,0.3948566408433831,0.25005341277416293,0.3883971563947359,0.25537326932901466,0.7255575841636317,2.346
BR-TFIDF,event_aircraft_core,1,1288,16.0,0.38722868826675055,0.248790697120798,0.3802930527891708,0.2483219765052063,0.7604799842214645,2.812
DyLas-adapted,event_aircraft_core,1,1288,16.0,0.38722868826675055,0.248790697120798,0.3802930527891708,0.2483219765052063,0.7604799842214645,2.282
HALB-adapted,event_aircraft_core,1,1288,16.0,0.38722868826675055,0.248790697120798,0.3802930527891708,0.2483219765052063,0.7604799842214645,2.17
LSPCL-adapted,event_aircraft_core,1,1288,16.0,0.32802374174792565,0.2482739090331439,0.3253537174619252,0.2027180807460311,0.8743137221727986,0.968
MatchXML-adapted,event_aircraft_core,1,1288,16.0,0.32771693344566133,0.24865653256381728,0.32390100275546785,0.20136526797046986,0.8878607597787762,0.968
SIHTC-adapted,event_aircraft_weather,1,1288,16.0,0.3795653486266224,0.24339079800139543,0.37410833531243654,0.24335228694700742,0.6459154655165502,2.369
VCLDL-adapted,event_aircraft_weather,1,1288,16.0,0.3776571687019448,0.2464966643316769,0.37060441182655285,0.2404451720639609,0.7255273762160501,2.323
BR-TFIDF,event_aircraft_weather,1,1288,16.0,0.37304434099061284,0.2466138881812941,0.36417562020754385,0.23520127431229915,0.7670625117493425,0.759
DyLas-adapted,event_aircraft_weather,1,1288,16.0,0.37304434099061284,0.2466138881812941,0.36417562020754385,0.23520127431229915,0.7670625117493425,2.357
HALB-adapted,event_aircraft_weather,1,1288,16.0,0.37304434099061284,0.2466138881812941,0.36417562020754385,0.23520127431229915,0.7670625117493425,2.291
MatchXML-adapted,event_aircraft_weather,1,1288,16.0,0.31960461285008235,0.2305707680289269,0.32002784335985063,0.20024830888573125,0.8992802445998752,1.188
LSPCL-adapted,event_aircraft_weather,1,1288,16.0,0.2980449602794524,0.2321704645826952,0.29668610650615296,0.18156569211499335,0.8910009971189478,1.191
SIHTC-adapted,mature_factual,1,1288,16.0,0.6322615509321805,0.47954751081890334,0.629790559681864,0.5089569160997732,0.6467793415237599,2.365
BR-TFIDF,mature_factual,1,1288,16.0,0.6246402631218309,0.4770262220060527,0.620793057012001,0.5000856502021098,0.648019924436928,7.364
DyLas-adapted,mature_factual,1,1288,16.0,0.6246402631218309,0.4770262220060527,0.620793057012001,0.5000856502021098,0.648019924436928,2.613
HALB-adapted,mature_factual,1,1288,16.0,0.6246402631218309,0.4770262220060527,0.620793057012001,0.5000856502021098,0.648019924436928,8.63
VCLDL-adapted,mature_factual,1,1288,16.0,0.6246402631218309,0.4770262220060527,0.620793057012001,0.5000856502021098,0.648019924436928,2.336
LSPCL-adapted,mature_factual,1,1288,16.0,0.473575242453961,0.34668446809211073,0.4619850851293028,0.3359602935883992,0.8437756538179608,12.702
MatchXML-adapted,mature_factual,1,1288,16.0,0.4651113913408995,0.33686224725409425,0.45390756296917967,0.3269285256668797,0.8621901117484105,12.738
SIHTC-adapted,preliminary,1,1288,16.0,0.5117766172865821,0.38680578425408507,0.5041286439578364,0.3610431063070815,0.6928702529364289,2.338
DyLas-adapted,preliminary,1,1288,16.0,0.5099259577207855,0.38187349208589877,0.5013578984852277,0.3586237821874468,0.7235323262187499,2.317
VCLDL-adapted,preliminary,1,1288,16.0,0.5048503181391467,0.38145881312842567,0.4954913961125141,0.3516141898129476,0.6975065830456104,2.321
BR-TFIDF,preliminary,1,1288,16.0,0.5037562604340567,0.3814233714475086,0.4955677991780476,0.3515410874494725,0.7003768150086901,6.013
HALB-adapted,preliminary,1,1288,16.0,0.5037562604340567,0.3814233714475086,0.4955677991780476,0.3515410874494725,0.7003768150086901,7.029
MatchXML-adapted,preliminary,1,1288,16.0,0.44504643962848295,0.3032764204304862,0.44961673475244807,0.31791784173383547,0.787609472359691,9.059
LSPCL-adapted,preliminary,1,1288,16.0,0.43403205918618987,0.31659372892848514,0.4385005200452747,0.3059003410323286,0.7834486677649073,9.314
