test_year,stage,fit_samples,validation_samples,train_samples,test_samples,labels,stage_seconds
2023,event_aircraft_core,2382,1288,3670,1231,17,15.522
2023,event_aircraft_weather,2382,1288,3670,1231,17,14.908
2023,preliminary,2382,1288,3670,1231,17,58.329
2023,mature_factual,2382,1288,3670,1231,17,72.782
2024,event_aircraft_core,3670,1231,4901,987,19,14.808
2024,event_aircraft_weather,3670,1231,4901,987,19,17.786
2024,preliminary,3670,1231,4901,987,19,74.923
2024,mature_factual,3670,1231,4901,987,19,96.789
2025,event_aircraft_core,4901,987,5888,654,19,15.252
2025,event_aircraft_weather,4901,987,5888,654,19,17.68
2025,preliminary,4901,987,5888,654,19,84.769
2025,mature_factual,4901,987,5888,654,19,109.558
