method,stage,test_years,n_samples,n_labels,micro_f1,macro_f1,samples_f1,jaccard_samples,mean_binary_entropy,runtime_seconds
SIHTC-adapted,mature_factual,3,2872,18.33333333333333,0.6813503344439829,0.4378939866251247,0.6706245201672217,0.5584921264410388,0.5505072508098984,53.798
VCLDL-adapted,mature_factual,3,2872,18.33333333333333,0.6812211117634308,0.4409945760752801,0.6685567729915606,0.5583419406928026,0.556729960118929,53.658
DyLas-adapted,mature_factual,3,2872,18.33333333333333,0.6773110651454147,0.452503905995111,0.666318740905704,0.5522944809309881,0.5653598197680676,135.26600000000002
BR-TFIDF,mature_factual,3,2872,18.33333333333333,0.6754229641901398,0.4524734587432158,0.6647896380004544,0.5500140495603426,0.5506922701613631,45.679
HALB-adapted,mature_factual,3,2872,18.33333333333333,0.6754229641901398,0.4524734587432158,0.6647896380004544,0.5500140495603426,0.5506922701613631,92.373
VCLDL-adapted,preliminary,3,2872,18.33333333333333,0.5440078440696533,0.303549843820326,0.5336119750848951,0.4006350398074651,0.5988197100971503,43.815
DyLas-adapted,preliminary,3,2872,18.33333333333333,0.541799109268205,0.3209747968009241,0.5310177522744097,0.397566691918239,0.6461251382287295,103.391
SIHTC-adapted,preliminary,3,2872,18.33333333333333,0.5416008355678716,0.3177403295179944,0.5315887526838088,0.3975234711293801,0.5994449369675937,43.831
BR-TFIDF,preliminary,3,2872,18.33333333333333,0.5335199111396105,0.3177272207058503,0.5242848597003252,0.3876279015362094,0.6163942135828446,35.67
HALB-adapted,preliminary,3,2872,18.33333333333333,0.5334809774225574,0.3159905241573367,0.5245576816222131,0.3882382368337909,0.6364447134212902,73.668
